center,left,right,steering,throttle,brake,speed
IMG/center_2021_02_07_18_21_01_877.jpg,IMG/left_2021_02_07_18_21_01_877.jpg,IMG/right_2021_02_07_18_21_01_877.jpg,0,0,0,6.10E-06
IMG/center_2021_02_07_18_21_01_970.jpg,IMG/left_2021_02_07_18_21_01_970.jpg,IMG/right_2021_02_07_18_21_01_970.jpg,0,0,0,1.29E-05
IMG/center_2021_02_07_18_21_02_054.jpg,IMG/left_2021_02_07_18_21_02_054.jpg,IMG/right_2021_02_07_18_21_02_054.jpg,0,0,0,1.34E-05
IMG/center_2021_02_07_18_21_02_147.jpg,IMG/left_2021_02_07_18_21_02_147.jpg,IMG/right_2021_02_07_18_21_02_147.jpg,0,0,0,2.21E-06
IMG/center_2021_02_07_18_21_02_242.jpg,IMG/left_2021_02_07_18_21_02_242.jpg,IMG/right_2021_02_07_18_21_02_242.jpg,0,0,0,1.38E-06
IMG/center_2021_02_07_18_21_02_338.jpg,IMG/left_2021_02_07_18_21_02_338.jpg,IMG/right_2021_02_07_18_21_02_338.jpg,0,0,0,1.02E-06
IMG/center_2021_02_07_18_21_02_434.jpg,IMG/left_2021_02_07_18_21_02_434.jpg,IMG/right_2021_02_07_18_21_02_434.jpg,0,0,0,3.08E-06
IMG/center_2021_02_07_18_21_02_531.jpg,IMG/left_2021_02_07_18_21_02_531.jpg,IMG/right_2021_02_07_18_21_02_531.jpg,0,0,0,2.14E-05
IMG/center_2021_02_07_18_21_02_627.jpg,IMG/left_2021_02_07_18_21_02_627.jpg,IMG/right_2021_02_07_18_21_02_627.jpg,0,0,0,2.68E-06
IMG/center_2021_02_07_18_21_02_726.jpg,IMG/left_2021_02_07_18_21_02_726.jpg,IMG/right_2021_02_07_18_21_02_726.jpg,0,0,0,2.38E-06
IMG/center_2021_02_07_18_21_02_818.jpg,IMG/left_2021_02_07_18_21_02_818.jpg,IMG/right_2021_02_07_18_21_02_818.jpg,0,0,0,7.96E-06
IMG/center_2021_02_07_18_21_02_913.jpg,IMG/left_2021_02_07_18_21_02_913.jpg,IMG/right_2021_02_07_18_21_02_913.jpg,0,0,0,5.29E-06
IMG/center_2021_02_07_18_21_03_009.jpg,IMG/left_2021_02_07_18_21_03_009.jpg,IMG/right_2021_02_07_18_21_03_009.jpg,0,0,0,1.06E-05
